,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,happiness,energeticness
0,0.7727272727272727,0.7316469029058227,0.866,0.13699999999999998,0.73,0.0,0.0843,0.625,-8.201,0.0767,0.5438082128928653,5,4,1.0,0.12367799745389069
1,0.48863636363636365,0.6150011671132563,0.381,0.0189,0.8320000000000001,0.196,0.153,0.166,-5.069,0.0492,0.5517549896765314,8,4,-1.0,-0.07461050589586511
2,0.6818181818181818,0.4204424227342088,0.34600000000000003,0.9129999999999999,0.139,7.730000000000001e-05,0.0934,0.11599999999999999,-15.325999999999999,0.0321,0.6247671484285388,0,4,-1.0,0.41643305485604
3,0.022727272727272728,0.44948328713108127,0.466,0.08900000000000001,0.43799999999999994,5.62e-06,0.113,0.5870000000000001,-12.857999999999999,0.0608,0.8859830236292728,4,4,1.0,-0.19319792313502407
4,0.011363636363636364,0.40737654160228254,0.586,0.000155,0.935,0.27699999999999997,0.159,0.58,-9.386000000000001,0.0482,0.5276301904106447,4,4,1.0,0.12907496276683766
5,0.9545454545454546,0.570810979738528,0.6709999999999999,0.257,0.373,7.950000000000001e-05,0.0481,0.732,-18.064,0.0323,0.42540490938288605,9,4,1.0,-0.0018202879364554029
6,0.0,0.4063213168895757,0.402,1.1900000000000001e-05,0.75,0.9590000000000001,0.122,0.58,-7.358,0.0293,0.68796054140858,2,4,-1.0,0.017339430451401915
7,0.0,0.44734775923900355,0.27899999999999997,0.00957,0.423,0.8370000000000001,0.128,0.29100000000000004,-12.06,0.038,0.46602890571231936,4,4,-1.0,-0.514158432225814
8,0.32954545454545453,0.5914659907055344,0.18899999999999997,0.113,0.4270000000000001,0.0923,0.057999999999999996,0.158,-9.08,0.0449,0.8589676531314523,0,3,-1.0,-0.1076935428111734
9,0.011363636363636364,0.5440599722593576,0.429,0.00299,0.6890000000000001,0.00193,0.152,0.23,-7.38,0.0379,0.4819454003211746,7,4,-1.0,-0.05712689422177366
10,0.9659090909090909,0.5200116518414346,0.42200000000000004,0.922,0.264,0.0,0.132,0.331,-7.064,0.0322,0.5502638219775179,8,4,-1.0,0.64706238950885
11,0.25,0.3288327131235616,0.737,0.226,0.816,0.45299999999999996,0.621,0.5329999999999999,-9.22,0.0411,0.5690020646937372,4,4,1.0,-0.04666556346185669
12,0.0,0.49439689181342394,0.486,0.755,0.35600000000000004,0.861,0.0986,0.111,-13.649000000000001,0.0318,0.5374673090158294,9,4,-1.0,-0.7042056679604747
13,0.4090909090909091,0.5405104046699963,0.46299999999999997,0.3670000000000001,0.462,0.0012,0.35600000000000004,0.18899999999999997,-7.94,0.0272,0.6023078687772425,1,4,-1.0,-0.049501673649079286
14,0.6590909090909091,0.3805040000154329,0.693,0.894,0.195,0.0325,0.126,0.315,-15.277999999999999,0.0446,0.535558614361092,11,4,-1.0,-0.0028131722654310774
15,0.5,0.3057315871004084,0.664,0.0015199999999999999,0.86,0.894,0.19699999999999998,0.249,-4.505,0.0345,0.5597201192934159,7,4,1.0,-0.08170815426735459
16,0.8522727272727273,0.41244432098122397,0.613,0.00148,0.953,0.000582,0.152,0.537,-3.435,0.0855,0.4819729295710026,2,4,1.0,0.03161009465169585
17,0.5795454545454546,0.5984609537919606,0.696,0.18600000000000005,0.871,0.0282,0.17300000000000001,0.8,-6.482,0.0357,0.545712319339298,1,4,-1.0,-0.032701284359778024
18,0.4431818181818182,0.3046647877107797,0.512,0.35100000000000003,0.35200000000000004,0.74,0.106,0.275,-9.093,0.0354,0.38055976141316816,5,4,-1.0,-0.8146222697728982
19,0.6477272727272727,0.3727431791393456,0.401,0.934,0.19899999999999998,0.0064,0.11199999999999999,0.0744,-14.409,0.0355,0.5430190410644643,9,4,-1.0,-0.0221301792598588
20,0.3409090909090909,0.49170385031627806,0.47100000000000003,0.6890000000000001,0.289,0.000535,0.0865,0.225,-9.783999999999999,0.0258,0.6714934618031659,6,4,-1.0,0.029804552522106422
21,0.0,0.5608625449242148,0.39899999999999997,0.848,0.44299999999999995,0.00040599999999999995,0.0899,0.265,-9.168,0.0272,0.6407111722872219,5,4,-1.0,-0.5000598024389564
22,0.4431818181818182,0.49518011161846776,0.5720000000000001,0.835,0.155,0.00013700000000000002,0.0906,0.0949,-14.405,0.0344,0.5043496214728148,6,3,-1.0,0.06391488064907765
23,0.3522727272727273,0.31148034330491753,0.732,0.127,0.52,0.0347,0.139,0.33899999999999997,-6.684,0.0376,0.550488644184446,2,4,1.0,0.027238782127426708
24,0.9659090909090909,0.41496374232454236,0.45899999999999996,0.604,0.575,0.0,0.0885,0.183,-4.8580000000000005,0.0573,0.5133333333333333,3,4,-1.0,0.2048487489821297
25,0.0,0.6222314819637597,0.6659999999999999,0.251,0.6679999999999999,5.77e-06,0.499,0.765,-7.961,0.0523,0.6086992429456297,0,4,1.0,-0.30235949294085457
26,0.6818181818181818,0.44437692549573377,0.387,0.736,0.23399999999999999,0.0,0.084,0.408,-8.861,0.0373,0.36086258316127556,0,4,-1.0,0.43321705991549014
27,0.8181818181818182,0.4006381505209569,0.868,0.308,0.34700000000000003,2e-05,0.11,0.659,-9.529,0.0536,0.5049736178022483,5,4,1.0,0.46115544865755814
28,0.625,0.4256394526721106,0.235,0.988,0.187,0.00197,0.106,0.11800000000000001,-12.754000000000001,0.0347,0.3944115622849278,6,4,-1.0,0.09187293046696693
29,0.36363636363636365,0.5957100389102056,0.47600000000000003,0.285,0.522,0.0127,0.193,0.0973,-8.158999999999999,0.0281,0.6142417985776555,9,4,-1.0,-0.08859280765077997
